OBJECTID,Sample_Date,Lat_deg_,Long_deg_,Pieces_KM2,Normalized
3868,1992-10-29,21.82,-58.78,4799,0
3869,1992-10-29,21.82,-58.78,2400,0
3870,1996-11-01,21.82,-58.07,10259,0
3871,2003-07-04,21.82,-157.55,432,0
3872,1998-10-30,21.84,-59.34,3240,0
3873,2003-10-31,21.85,-57.53,8774,0
3874,1990-04-17,21.87,-69.53,3780,0
3875,1990-04-17,21.87,-69.53,1620,0
3876,2003-04-03,21.88,-73.33,0,0
3877,1999-10-31,21.9,-59.04,28777,0
3878,1999-04-18,21.91,-61.14,0,0
3879,1994-02-21,21.92,-73.48,1620,0
3880,1998-04-06,21.92,-74.3,0,0
3881,2006-10-28,21.96,-60,71247,0
3882,1992-12-31,21.97,-75.93,540,0
3883,1991-12-28,21.98,-72.6,0,0
3884,2000-04-24,21.98,-60.05,1157,0
3885,1992-02-21,22,-71.25,6075,0
3886,1996-04-10,22,-74.18,0,0
3887,1996-11-01,22.03,-60,3780,0
3888,1996-11-01,22.03,-60,3600,0
3889,2003-02-21,22.04,-74.58,0,0
3890,1992-10-30,22.07,-59.27,1080,0
3891,1994-10-30,22.07,-58.73,0,0
3892,1993-10-30,22.08,-58.53,3240,0
3893,1993-10-30,22.08,-58.53,11339,0
3894,2004-10-30,22.08,-58.07,22089,0
3895,2000-11-01,22.1,-58.73,2700,0
3896,2001-02-20,22.1,-69.2,2160,0
3897,2008-03-02,22.11,-71.66,1751,0
3898,2012-06-27,22.11,-141.71,31888,0
3899,2012-10-24,22.11,-141.71,136043,0
3900,2000-02-25,22.15,-69.15,2160,0
3901,2000-02-25,22.17,-69.17,6479,0
3902,2002-12-01,22.17,-106.46,3600,0
3903,2008-03-03,22.17,-71.61,0,0
3904,2007-02-21,22.18,-70.23,0,0
3905,2002-12-09,22.2,-109.9,0,0
3906,2000-11-02,22.21,-57.36,3780,0
3907,2001-03-15,22.21,-85.26,0,0
3908,1998-02-26,22.22,-67.83,1080,0
3909,1998-02-26,22.22,-67.83,540,0
3910,2000-02-21,22.24,-73.72,14039,0
3911,2008-03-03,22.24,-71.57,0,0
3912,1999-05-12,22.26,-64.87,56695,0
3913,1993-10-29,22.28,-58,24838,0
3914,1993-10-29,22.28,-58,21598,0
3915,2002-02-22,22.29,-71.93,0,0
3916,2007-05-14,22.29,-64.77,62635,0
3917,2002-11-01,22.3,-56.52,2700,0
3918,2007-05-14,22.31,-64.77,53306,0
3919,1999-02-22,22.34,-67.69,1080,0
3920,2007-04-20,22.34,-58.71,8674,0
3921,1997-10-31,22.38,-58.28,53456,0
3922,1991-05-05,22.4,-70.17,1080,0
3923,1992-10-29,22.4,-58.38,2700,0
3924,1992-10-29,22.4,-58.38,4320,0
3925,2004-02-26,22.41,-69.71,5398,0
3926,2002-02-24,22.42,-68.73,23623,0
3927,1987-02-14,22.45,-73.68,1080,0
3928,2001-02-17,22.47,-74.47,2700,0
3929,2001-10-27,22.47,-107.6,11570,0
3930,2008-03-01,22.47,-72.57,0,0
3931,1994-10-30,22.48,-57.92,540,0
3932,1994-10-30,22.48,-57.92,0,0
3933,2003-07-04,22.5,-157.43,540,0
3934,1998-10-29,22.53,-59.98,14039,0
3935,2007-10-24,22.54,-57.89,4598,0
3936,1998-02-21,22.57,-74.52,5940,0
3937,1999-05-13,22.57,-64.8,8099,0
3938,2002-02-22,22.57,-71.64,1620,0
3939,2001-04-19,22.59,-60.57,1620,0
3940,1995-11-03,22.6,-60,2315,0
3941,1995-11-03,22.6,-60,491,0
3942,1997-02-19,22.6,-71.22,0,0
3943,2001-05-15,22.6,-65.95,1620,0
3944,2001-05-15,22.6,-65.95,0,0
3945,1998-02-25,22.62,-67.73,2700,0
3946,1993-12-30,22.68,-74.55,0,0
3947,2008-11-04,22.68,-58.76,970,0
3948,1994-10-29,22.7,-58.55,1080,0
3949,1999-10-31,22.7,-58.82,2945,0
3950,1998-04-05,22.72,-74.6,0,0
3951,1990-04-26,22.73,-70.82,14579,0
3952,1990-04-26,22.73,-70.82,9179,0
3953,1999-04-17,22.74,-60.05,54536,0
3954,1993-02-17,22.75,-72.42,3780,0
3955,1993-02-18,22.75,-72.42,0,0
3956,1999-11-02,22.76,-57.59,2160,0
3957,2003-11-12,22.76,-141.69,4860,0
3958,2012-06-26,22.76,-141.69,38649,0
3959,2012-10-24,22.76,-141.69,68363,0
3960,2000-02-21,22.78,-73.74,10799,0
3961,1990-04-13,22.8,-73.8,12419,0
3962,2002-10-27,22.81,-110.19,0,0
3963,1990-04-16,22.83,-69.17,7019,0
3964,1990-04-16,22.83,-69.17,3780,0
3965,1992-02-21,22.83,-71.55,1800,0
3966,1994-02-16,22.85,-71.58,0,0
3967,1990-04-14,22.86,-73.86,0,0
3968,2006-04-01,22.86,-74.48,16739,0
3969,2006-04-01,22.86,-74.48,9179,0
3970,2006-10-28,22.86,-59.8,2160,0
3971,2000-02-24,22.87,-69.81,4199,0
3972,2001-10-19,22.87,-109.94,2700,0
3973,1999-02-21,22.88,-73.6,0,0
3974,2002-02-23,22.88,-70.49,1350,0
3975,1989-10-29,22.9,-59.27,9200,0
3976,1989-10-29,22.9,-59.27,2907,0
3977,1996-04-09,22.9,-73.92,1840,0
3978,2002-12-02,22.9,-107.51,0,0
3979,2007-02-20,22.91,-70.46,1440,0
3980,1995-02-16,22.93,-74.65,0,0
3981,1996-04-10,22.93,-74.67,1620,0
3982,2001-03-13,22.93,-84.85,1080,0
3983,2002-02-23,22.93,-69.56,19438,0
3984,1995-10-31,22.95,-61.08,1081,0
3985,1998-02-20,22.95,-74.73,1080,0
3986,1994-04-01,22.97,-73.2,0,0
3987,1994-04-01,22.97,-73.2,540,0
3988,2001-10-19,22.97,-110.49,0,0
3989,1991-10-23,22.98,-58.13,0,0
3990,1991-10-23,22.98,-58.13,2160,0
3991,2003-10-31,22.99,-148.78,4860,0
3992,2012-10-20,22.99,-148.78,2178976,0
3993,1990-04-26,23,-70.92,6479,0
3994,1990-04-26,23,-70.92,3240,0
3995,1995-10-31,23,-61.25,2700,0
3996,2005-05-12,23.04,-64.61,10799,0
3997,1998-02-20,23.05,-74.65,4320,0
3998,1999-05-13,23.05,-64.92,115416,0
3999,2002-11-08,23.05,-108.68,0,0
4000,2000-04-24,23.06,-59.8,23218,0
4001,2001-10-18,23.06,-110.98,540,0
4002,2004-04-03,23.06,-73.22,7019,0
4003,2002-12-03,23.09,-108.92,0,0
4004,1999-02-22,23.12,-67.46,0,0
4005,2002-10-31,23.13,-56.39,4200,0
4006,2002-12-03,23.14,-108.72,535,0
4007,2002-12-09,23.14,-109.13,0,0
4008,2003-10-31,23.15,-144.69,540,0
4009,2012-10-19,23.15,-144.69,269637,0
4010,2006-02-16,23.16,-71.29,16199,0
4011,1990-04-15,23.17,-73.78,1620,0
4012,1990-04-16,23.17,-73.78,1080,0
4013,1998-02-20,23.17,-74.63,0,0
4014,2001-02-19,23.17,-69.92,5400,0
4015,1991-04-26,23.2,-69.8,3240,0
4016,1994-02-18,23.2,-74.45,0,0
4017,2001-10-27,23.2,-59.39,20617,0
4018,2001-03-15,23.21,-84.21,0,0
4019,1997-02-18,23.22,-71.22,3436,0
4020,1998-04-05,23.22,-74.77,2700,0
4021,1998-04-05,23.22,-74.77,0,0
4022,2002-11-07,23.22,-109.02,0,0
4023,2008-04-08,23.22,-67.82,3780,0
4024,1993-05-15,23.23,-72.55,9823,0
4025,1993-05-15,23.23,-72.55,20996,0
4026,1996-02-18,23.23,-74.93,7559,0
4027,1996-02-18,23.23,-74.93,1080,0
4028,1998-02-25,23.23,-67.72,4860,0
4029,2003-10-30,23.24,-57.67,6479,0
4030,2007-10-24,23.24,-57.81,0,0
4031,2008-03-01,23.24,-73.25,5382,0
4032,1994-02-19,23.25,-73.48,6944,0
4033,2007-10-24,23.27,-57.8,1263,0
4034,1990-04-09,23.28,-73.57,1620,0
4035,1995-11-03,23.28,-59.93,3436,0
4036,1995-11-03,23.28,-59.93,4447,0
4037,2001-10-26,23.28,-107.84,2700,0
4038,2005-10-28,23.28,-56.77,818,0
4039,1998-10-29,23.3,-59.81,4860,0
4040,2004-02-25,23.3,-70.22,2700,0
4041,2005-10-28,23.3,-56.76,818,0
4042,2005-10-28,23.31,-56.75,0,0
4043,1997-04-22,23.32,-74.9,32432,0
4044,1998-02-20,23.33,-74.62,982,0
4045,2001-02-17,23.33,-74.8,0,0
4046,2002-12-02,23.34,-107.65,0,0
4047,1990-04-10,23.35,-73.32,1620,0
4048,1990-04-10,23.35,-73.32,540,0
4049,1996-10-31,23.35,-60.12,12824,0
4050,1996-10-31,23.35,-60.12,150588,0
4051,1999-02-21,23.35,-67.51,1473,0
4052,2003-10-30,23.35,-144.31,1080,0
4053,2007-05-14,23.35,-64.9,4021,0
4054,2012-10-19,23.35,-144.31,147894,0
4055,1986-10-24,23.37,-57.27,25795,0
4056,1998-02-20,23.37,-74.62,2160,0
4057,2000-02-20,23.37,-73.98,33477,0
4058,2001-04-18,23.37,-60.6,5400,0
4059,1997-11-02,23.4,-57.98,5400,0
4060,1998-02-19,23.42,-74.63,2160,0
4061,2003-07-05,23.43,-157.12,524,0
4062,2000-11-01,23.46,-58.83,5400,0
4063,1990-04-15,23.47,-69.83,0,0
4064,1990-04-15,23.47,-69.83,2700,0
4065,1992-10-28,23.47,-58.37,2160,0
4066,1992-10-28,23.47,-58.37,9179,0
4067,1993-01-28,23.47,-80.3,0,0
4068,1993-01-28,23.47,-80.3,1080,0
4069,1993-02-17,23.47,-73.92,0,0
4070,1993-02-17,23.47,-73.92,2160,0
4071,1998-02-19,23.47,-74.68,6944,0
4072,1992-02-20,23.48,-71.72,0,0
4073,1998-03-28,23.48,-81.3,0,0
4074,1999-04-17,23.48,-60.95,7019,0
4075,1998-02-19,23.5,-74.7,772,0
4076,2000-02-24,23.5,-69.96,27898,0
4077,2001-03-13,23.5,-84.06,2161,0
4078,2003-11-11,23.52,-141.63,1080,0
4079,2012-06-26,23.52,-141.63,25341,0
4080,2012-10-24,23.52,-141.63,14251,0
4081,1992-10-29,23.53,-57.75,10799,0
4082,1992-10-29,23.53,-57.75,675,0
4083,1993-01-03,23.57,-81.78,0,0
4084,2001-05-16,23.59,-65.74,12342,0
4085,2001-05-16,23.59,-65.74,10124,0
4086,1990-04-14,23.6,-70.17,7559,0
4087,1990-04-14,23.6,-70.17,3599,0
4088,2000-11-01,23.6,-57.05,31794,0
4089,2001-03-15,23.6,-83.7,7799,0
4090,1997-04-28,23.62,-80.38,1080,0
